1.958;-0.441;0.484;0.413;0.273;0.459;0.149;0.306;-0.441;0.15;0.273;0.459;0.485;0.413
2.1905;0.528;0.261;0.248;0.178;0.168;-0.002;0.344;0.201;-0.001;0.178;0.168;0.262;0.248
1.892;0.547;0.073;-0.235;0.178;0.169;-0.405;0.24;0.191;-0.584;-0.35;-0.34;-0.389;-0.484
1.808;-0.354;-0.203;-0.15;0.974;0.965;0.998;0.206;-0.354;0.998;0.974;0.965;-0.203;-0.15
2.708;0.672;0.778;0.536;0.384;0.435;0.497;-0.162;0.008;-0.359;-0.569;0;-0.148;-0.325
2.084;0.086;-0.012;-0.842;0.1;-0.07;-0.192;0.39;0.29;0.093;0.31;0.158;0.476;0.14
2.48;0.457;0.283;0.351;0.313;0.533;0.418;0.413;0.783;0.37;0.346;0.48;0.733;0.581
1.2035;-0.305;-0.288;-0.068;-0.794;-0.477;-0.06;0.329;0.215;0.114;0.082;0.135;0.52;0.447
2.624;0.263;0.245;0.004;0.208;-0.394;0.119;0.75;0.263;0.119;0.208;-0.394;0.245;0.004
2.6255;0.263;0.245;0.004;0.208;-0.394;0.119;0.751;0.263;0.119;0.208;-0.394;0.245;0.004
2.6255;0.263;0.367;0.24;0.217;0.174;0.123;0.75;0.263;0.122;0.218;0.174;0.367;0.24
2.093;0.195;0.246;0.061;0.178;0.316;0.479;-0.257;0.026;0.127;-0.187;0.197;-0.094;-0.421
2.423;0.474;0.501;0.491;0.618;0.403;0.329;0.088;0.233;-0.248;-0.007;-0.226;0.196;-0.325
2.6405;0.689;0.682;0.206;0.438;0.063;-0.248;-0.441;0.079;-0.228;0.438;0.064;-0.226;0.206
2.159;0.269;0.405;0.265;0.214;0.384;0.48;0.44;0.269;0.48;0.214;0.384;0.405;0.265
1.427;0.214;0.359;0.237;0.1;0.204;0.34;-0.048;0.214;0.34;0.099;0.203;0.359;0.236
2.0165;0.739;0.416;0.443;0.297;0.279;0.499;0.345;0.739;0.498;0.297;0.279;0.415;0.443
1.91;0.067;-0.305;-0.694;-0.85;0.716;0.998;0.275;0.067;0.998;-0.85;0.716;-0.305;-0.694
0.8585;-0.756;-0.249;-0.059;-0.85;-0.828;-0.674;-0.71;-0.842;-0.897;-0.85;-0.828;-0.794;-0.85
2.837;-0.357;0.569;-0.438;-0.447;0.604;-0.311;0.892;-0.357;-0.311;-0.447;0.604;0.569;-0.438
0.9185;0.966;0.469;0.963;0.747;0.741;-0.641;-0.387;0.966;-0.641;0.747;0.742;0.47;0.963
1.7705;0.117;0.327;0.012;0.57;-0.311;-0.105;0.568;0.38;-0.343;0.57;-0.316;0.485;0.346
1.9415;0.014;0.298;0.198;0.416;0.564;0.406;0.81;0.506;0.997;0.976;0.965;0.357;0.071
2.7155;0.506;0.357;-0.528;0.976;0.965;-0.387;0.811;0.505;-0.387;0.975;0.965;0.357;-0.528
1.292;0.416;-0.379;-0.664;-0.507;0.477;-0.565;-0.249;0.405;-0.641;0.638;0.787;0.435;-0.098
1.958;-0.5;-0.016;0.296;0.475;0.406;0.998;-0.384;-0.083;-0.253;-0.073;0.7;0.426;0.031
2.147;0.888;0.461;0.964;-0.721;0.963;0.997;-0.627;0.014;-0.487;0.235;0.214;0.042;-0.542
2.054;-0.047;0.003;0.963;0.538;0.647;0.996;-0.043;0.424;-0.347;0.974;0.965;0.061;0.219
1.025;0.104;0.497;0.964;-0.807;0.645;0.794;0.296;0.703;0.002;-0.627;0.262;0.208;-0.468
2.6555;0.508;0.409;0.362;-0.088;-0.359;0.002;0.651;0.766;0.002;-0.089;-0.268;0.409;0.362
1.991;0.322;-0.238;0.645;0.128;0.127;0.199;-0.265;0.438;-0.362;-0.85;0.478;0.08;-0.179
0.884;-0.065;-0.738;0.715;-0.85;0.77;0.842;-0.359;-0.003;-0.507;0.974;0.014;-0.721;-0.389
0.8105;0.067;0.263;0.725;-0.41;0.451;-0.774;0.242;0.423;-0.309;-0.195;0.411;0.096;-0.369
2.078;-0.631;0.965;0.496;0.069;0.316;0.111;-0.265;0.059;0.998;0.976;0.965;0.344;-0.359
1.181;0.441;0.154;0.691;-0.497;0.271;-0.402;-0.066;0.42;-0.357;0.324;0.271;-0.553;-0.557
0.923;0.241;0.022;-0.55;-0.316;-0.807;-0.309;-0.219;-0.392;-1;-0.857;-0.807;0.526;-0.362
0.875;0.325;0.18;0.486;-0.655;0;0.998;0.862;0.244;-0.094;0.268;0.694;0.343;0.715
2.1515;0.129;0.155;0.359;-0.068;0.965;0.384;-0.168;-0.873;0.024;-0.641;-0.018;-0.768;0.288
2.0525;0.338;0.285;0.794;0.047;0.965;0.918;0.041;0.223;0.291;0.72;-0.099;-0.517;0.92
1.1555;-0.4;0.787;0.791;-0.727;-0.623;0.184;0.248;0.007;-0.623;0.298;0.438;-0.34;0.3
2.8625;0.094;0.272;-0.828;-0.857;0.965;0.182;0.961;0.966;-0.605;0.05;0.51;0.964;0.964
1.9475;-0.282;0.964;0.953;-0.774;0.389;0.037;0.238;0.417;0.259;0.977;0.354;-0.316;0.018
1.766;0.699;0.649;-0.357;-0.494;-0.09;0.649;0.231;-0.614;0.03;0.038;0.045;-0.038;0.364
1.1225;-0.374;0.58;0.933;0.844;-0.259;0.664;0.923;0.492;-0.022;-0.85;-0.807;0.016;-0.379
0.974;0.433;0.818;-0.266;-0.474;-0.195;-0.462;-0.689;-0.593;0.007;0.977;0.633;-0.659;-0.07
0.8795;0.473;0.099;0.586;0.977;-0.807;0.637;-0.253;-0.932;-0.432;-0.601;-0.664;0.459;0.439
1.907;0.112;0.377;-0.003;0.266;0.86;-0.821;-0.618;0.073;-0.195;0.975;0.725;0.903;-0.369
1.4735;-0.389;0.963;0.963;0.977;0.289;0.461;0.539;-0.314;0.227;0.621;0.455;-0.089;-0.261
1.3325;-0.441;0.964;0.152;0.572;-0.43;-0.889;0.256;0.406;-0.889;0.573;-0.336;0.963;0.152
0.887;-0.036;0.027;0.485;-0.553;0.127;0.998;-0.083;-0.367;0.426;0.281;0.304;-0.044;0.426
2.942;0.967;0.048;0.73;0.977;-0.807;-1;0.961;0.967;-1;0.977;-0.807;0.964;0.658
